,Country Code,year,LE,GNIPPPconst
6247,LAO,2023,68.964,8863.954120137763
6248,LBN,2023,77.817,12786.331030442629
6249,LBR,2023,62.163,1729.5520234415148
6250,LBY,2023,69.339,14958.566012265006
6251,LCA,2023,72.697,24553.46176135722
6252,LCN,2023,75.64352731740156,21959.000305633486
6253,LDC,2023,66.51610025977877,4392.614535643546
6254,LIC,2023,64.51789579368526,2305.2815021202077
6256,LKA,2023,77.483,14433.523433720262
6257,LMC,2023,69.59637465715149,9763.407333632496
6258,LMY,2023,71.9736125967917,15120.443829484728
6259,LSO,2023,57.375,3603.2333821698226
6260,LTE,2023,77.1297750439663,26750.75342086728
6261,LTU,2023,76.98780487804878,52246.88404146243
6262,LUX,2023,83.35853658536585,107541.07402898849
6263,LVA,2023,75.6780487804878,42466.67914700148
6264,MAC,2023,83.18048780487806,116662.40196213838
6266,MAR,2023,75.313,10027.283754952592
6268,MDA,2023,71.198,18561.79939443483
6269,MDG,2023,63.632,1822.2065961258818
6270,MDV,2023,81.041,22597.42078246503
6271,MEA,2023,72.0839412410497,16168.529647956404
6272,MEX,2023,75.069,25346.17310543458
6273,MHL,2023,66.945,9337.521936080084
6274,MIC,2023,72.74280607226673,16446.670781237455
6275,MKD,2023,75.31609756097562,24852.01538445129
6276,MLI,2023,60.439,3150.2554712684737
6277,MLT,2023,83.50731707317074,60246.062149879435
6278,MMR,2023,66.889,5971.07246188142
6279,MNA,2023,71.27588498845824,11001.594876043395
6280,MNE,2023,77.58780487804879,33468.89064409741
6281,MNG,2023,72.12243902439025,16502.808890337787
6283,MOZ,2023,63.611,1575.1277356342368
6284,MRT,2023,68.484,7175.5819067781895
6285,MUS,2023,73.41219512195123,34210.127225572345
6286,MWI,2023,67.353,1853.0914536873374
6287,MYS,2023,76.657,36392.65715991521
6288,NAC,2023,78.7328213732191,82908.16651980691
6289,NAM,2023,67.385,11025.894149439657
6291,NER,2023,61.183,1904.5662162897634
6293,NIC,2023,74.947,8174.192301265255
6294,NLD,2023,81.91463414634147,83440.59017853261
6295,NOR,2023,83.11219512195123,112194.3925682478
6296,NPL,2023,70.354,5621.044076184923
6297,NRU,2023,62.109,23173.938123612203
6298,NZL,2023,83.00487804878051,54367.644260682384
6299,OED,2023,80.1614352591851,61568.82897320598
6300,OMN,2023,80.031,40809.19179120336
6301,OSS,2023,73.55942147768965,28177.315387871236
6302,PAK,2023,67.649,6084.316939606758
6303,PAN,2023,79.594,39017.87005263894
6304,PER,2023,77.74,16574.873557981184
6305,PHL,2023,69.833,12549.547122471467
6306,PLW,2023,69.269,18860.3530175289
6307,PNG,2023,66.134,4447.4194888496095
6308,POL,2023,78.50731707317074,47871.52922025621
6310,PRI,2023,81.69,33839.50893483488
6312,PRT,2023,82.28048780487806,49456.951908410934
6313,PRY,2023,73.844,17449.944522222428
6314,PSE,2023,65.17,7391.775909708379
6315,PSS,2023,69.27459490358557,8094.9358086506245
6316,PST,2023,80.82305638376364,68031.84915274366
6318,QAT,2023,82.368,129459.0279451015
6319,ROU,2023,76.60731707317075,47222.947211465646
6320,RUS,2023,73.25463414634149,44978.647561999875
6321,RWA,2023,67.785,3428.219189321574
6322,SAS,2023,72.3247648783903,10383.297057297006
6323,SAU,2023,78.732,74144.24805253447
6324,SDN,2023,66.331,2501.6734624779056
6325,SEN,2023,68.683,4756.268064464166
6326,SGP,2023,82.89512195121952,120800.97287537342
6327,SLB,2023,70.528,2717.8674654080946
6328,SLE,2023,61.786,3438.5141418420594
6329,SLV,2023,72.099,12230.403594336427
6331,SOM,2023,58.816,1636.8974507571481
6332,SRB,2023,76.2209756097561,29083.24087037071
6335,SSF,2023,62.602807153695146,5328.096743494866
6336,SST,2023,72.89667886538625,26163.738928494404
6337,STP,2023,69.718,6393.165515221314
6338,SUR,2023,73.631,19725.12902924966
6339,SVK,2023,78.01707317073172,46337.58129470392
6340,SVN,2023,81.97804878048781,57178.16629877484
6341,SWE,2023,83.30975609756099,74319.26224538272
6342,SWZ,2023,64.123,10861.174909111895
6344,SYC,2023,74.95853658536586,31831.993193340262
6347,TCD,2023,55.069,2748.7523229695503
6348,TEA,2023,75.90856436038072,22350.40044411737
6349,TEC,2023,74.72653719942916,36191.29295572806
6350,TGO,2023,62.739,3253.2049964733255
6351,THA,2023,76.412,23606.32612947258
6352,TJK,2023,71.79,6372.575610180344
6353,TKM,2023,70.073,20250.171607794404
6354,TLA,2023,75.56992583796878,21917.44316837938
6355,TLS,2023,67.689,5456.32483585716
6356,TMN,2023,71.3194560888195,11028.389836040056
6357,TON,2023,72.895,8647.760117207574
6358,TSA,2023,72.3247648783903,10383.297057297006
6359,TSS,2023,62.602807153695146,5328.096743494866
6360,TTO,2023,73.49,36361.772302353755
6361,TUN,2023,76.508,14073.200095503278
6362,TUR,2023,77.156,43609.41887677534
6363,TUV,2023,67.105,8565.400497043693
6364,TZA,2023,66.995,4056.211293071172
6365,UGA,2023,68.252,3109.0756611865327
6366,UKR,2023,73.422,18695.633777201136
